,zip_code,都,区,町,Prefecture,District,Area,lat,long
43,1006836,東京都,千代田区,大手町　ＪＡビル（３６階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(36-KAI),,
44,1006837,東京都,千代田区,大手町　ＪＡビル（３７階）,TOKYO TO,CHIYODA KU,OTEMACHI JIEIEIBIRU(37-KAI),,
45,1010044,東京都,千代田区,鍛冶町,TOKYO TO,CHIYODA KU,KAJICHO,35.6916889,139.7719416
46,1000013,東京都,千代田区,霞が関　（次のビルを除く）,TOKYO TO,CHIYODA KU,KASUMIGASEKI (TSUGINOBIRUONOZOKU),,
47,1006090,東京都,千代田区,霞が関　霞が関ビル（地階・階層不明,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(CHIKA,,
48,1006001,東京都,千代田区,霞が関　霞が関ビル（１階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(1-KAI,,
49,1006002,東京都,千代田区,霞が関　霞が関ビル（２階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(2-KAI,,
50,1006003,東京都,千代田区,霞が関　霞が関ビル（３階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(3-KAI,,
51,1006004,東京都,千代田区,霞が関　霞が関ビル（４階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(4-KAI,,
52,1006005,東京都,千代田区,霞が関　霞が関ビル（５階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(5-KAI,,
53,1006006,東京都,千代田区,霞が関　霞が関ビル（６階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(6-KAI,,
54,1006007,東京都,千代田区,霞が関　霞が関ビル（７階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(7-KAI,,
55,1006008,東京都,千代田区,霞が関　霞が関ビル（８階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(8-KAI,,
56,1006009,東京都,千代田区,霞が関　霞が関ビル（９階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(9-KAI,,
57,1006010,東京都,千代田区,霞が関　霞が関ビル（１０階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(10-KA,,
58,1006011,東京都,千代田区,霞が関　霞が関ビル（１１階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(11-KA,,
59,1006012,東京都,千代田区,霞が関　霞が関ビル（１２階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(12-KA,,
60,1006013,東京都,千代田区,霞が関　霞が関ビル（１３階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(13-KA,,
61,1006014,東京都,千代田区,霞が関　霞が関ビル（１４階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(14-KA,,
62,1006015,東京都,千代田区,霞が関　霞が関ビル（１５階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(15-KA,,
63,1006016,東京都,千代田区,霞が関　霞が関ビル（１６階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(16-KA,,
64,1006017,東京都,千代田区,霞が関　霞が関ビル（１７階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(17-KA,,
65,1006018,東京都,千代田区,霞が関　霞が関ビル（１８階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(18-KA,,
66,1006019,東京都,千代田区,霞が関　霞が関ビル（１９階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(19-KA,,
67,1006020,東京都,千代田区,霞が関　霞が関ビル（２０階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(20-KA,,
68,1006021,東京都,千代田区,霞が関　霞が関ビル（２１階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(21-KA,,
69,1006022,東京都,千代田区,霞が関　霞が関ビル（２２階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(22-KA,,
70,1006023,東京都,千代田区,霞が関　霞が関ビル（２３階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(23-KA,,
71,1006024,東京都,千代田区,霞が関　霞が関ビル（２４階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(24-KA,,
72,1006025,東京都,千代田区,霞が関　霞が関ビル（２５階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(25-KA,,
73,1006026,東京都,千代田区,霞が関　霞が関ビル（２６階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(26-KA,,
74,1006027,東京都,千代田区,霞が関　霞が関ビル（２７階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(27-KA,,
75,1006028,東京都,千代田区,霞が関　霞が関ビル（２８階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(28-KA,,
76,1006029,東京都,千代田区,霞が関　霞が関ビル（２９階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(29-KA,,
77,1006030,東京都,千代田区,霞が関　霞が関ビル（３０階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(30-KA,,
78,1006031,東京都,千代田区,霞が関　霞が関ビル（３１階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(31-KA,,
79,1006032,東京都,千代田区,霞が関　霞が関ビル（３２階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(32-KA,,
80,1006033,東京都,千代田区,霞が関　霞が関ビル（３３階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(33-KA,,
81,1006034,東京都,千代田区,霞が関　霞が関ビル（３４階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(34-KA,,
82,1006035,東京都,千代田区,霞が関　霞が関ビル（３５階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(35-KA,,
83,1006036,東京都,千代田区,霞が関　霞が関ビル（３６階）,TOKYO TO,CHIYODA KU,KASUMIGASEKI KASUMIGASEKIBIRU(36-KA,,
84,1010029,東京都,千代田区,神田相生町,TOKYO TO,CHIYODA KU,KANDAAIOICHO,,
